OMIM_disease,OMIM_phen_key,OMIM_orgene,OMIM_id,OMIM_pos,OMIM_gene
"Mental retardation, autosomal dominant 42, 616973 ",3,"GNB1, MRD42",139380,1p36.33,GNB1
"Mental retardation, autosomal dominant 5, 612621 ",3,"SYNGAP1, MRD5",603384,6p21.32,SYNGAP1
"Mental retardation, autosomal dominant 7, 614104 ",3,"DYRK1A, MNBH, MNB, MRD7",600855,21q22.13,DYRK1A
"Mental retardation, autosomal dominant 8, 614254 ",3,"GRIN1, NMDAR1, MRD8",138249,9q34.3,GRIN1
"Mental retardation, autosomal recessive 2, 607417 ",3,"CRBN, MRT2",609262,3p26.2,CRBN
"Mental retardation, autosomal recessive 38, 615516 ",3,"HERC2, SHEP1, MRT38",605837,15q13.1,HERC2
"Mental retardation, autosomal recessive 46, 616116 ",3,"NDST1, HSST, MRT46",600853,5q33.1,NDST1
"Mental retardation, autosomal recessive 7, 611093 ",3,"TUSC3, M33, D8S1992, MRT7, MRT22",601385,8p22,TUSC3
"Mental retardation, autosomal recessive, 6, 611092 ",3,"GRIK2, GLUR6, MRT6",138244,6q16.3,GRIK2
"Mental retardation, stereotypic movements, epilepsy, and/or cerebral malformations, 613443 ",3,"MEF2C, C5DELq14.3, DEL5q14.3",600662,5q14.3,MEF2C
"Mental retardation, with or without nystagmus, 300422 ",3,"CASK, MICPCH, FGS4, CMG, MRXSNA",300172,Xp11.4,CASK
"Mental retardation-hypotonic facies syndrome, X-linked, 309580 ",3,"ATRX, XH2, XNP, SHS, SFM1, MRXHF1",300032,Xq21.1,ATRX
"Mephenytoin poor metabolizer, 609535 ",3,"CYP2C, CYP2C19",124020,10q23.33,CYP2C
"Mesothelioma, somatic, 156240 ",3,"WT1, NPHS4",607102,11p13,WT1
"Metachondromatosis, 156250 ",3,"PTPN11, PTP2C, SHP2, NS1, JMML, METCDS",176876,12q24.13,PTPN11
"Metachromatic leukodystrophy due to SAP-b deficiency, 249900 ",3,"PSAP, SAP1",176801,10q22.1,PSAP
"Metachromatic leukodystrophy, 250100 ",3,ARSA,607574,22q13.33,ARSA
"Metaphyseal anadysplasia 1, 602111 ",3,"MMP13, CLG3, MANDP1, MDST",600108,11q22.2,MMP13
"Metaphyseal anadysplasia 2, 613073 ",3,"MMP9, CLG4B, MANDP2",120361,20q13.12,MMP9
"Metaphyseal chondrodysplasia, Murk Jansen type, 156400 ",3,"PTHR1, PTHR, PFE",168468,3p21.31,PTHR1
"Metaphyseal chondrodysplasia, Schmid type, 156500 ",3,COL10A1,120110,6q22.1,COL10A1
"Metaphyseal dysplasia with maxillary hypoplasia with or without brachydactyly, 156510 ",3,"RUNX2, CBFA1, PEBP2A1, AML3, CCD, CLCD",600211,6p21.1,RUNX2
"Metaphyseal dysplasia without hypotrichosis, 250460 ",3,"RMRP, RMRPR, CHH",157660,9p13.3,RMRP
"Metaphyseal dysplasia, Spahr type, 250400 ",3,"MMP13, CLG3, MANDP1, MDST",600108,11q22.2,MMP13
"Metatropic dysplasia, 156530 ",3,"TRPV4, VROAC, HMSN2C, CMT2C, SPSMA, SSQTL1, SMAL, BCYM3",605427,12q24.11,TRPV4
"Methemoglobinemia, type I, 250800 ",3,"CYB5R3, DIA1, B5R",613213,22q13.2,CYB5R3
"Methemoglobinemia, type II, 250800 ",3,"CYB5R3, DIA1, B5R",613213,22q13.2,CYB5R3
"Methylmalonic aciduria and homocystinuria, cblC type, 277400 ",3,MMACHC,609831,1p34.1,MMACHC
"Methylmalonic aciduria and homocystinuria, cblJ type, 614857 ",3,"ABCD4, PXMP1L, P79R, PMP69, MAHCJ",603214,14q24.3,ABCD4
"Mevalonic aciduria, 610377 ",3,"MVK, MVLK, POROK3",251170,12q24.11,MVK
"Microcephalic osteodysplastic primordial dwarfism, type II, 210720 ",3,"PCNT, PCNT2, KEN, SCKL4, MOPD2",605925,21q22.3,PCNT
"Microcephaly 1, primary, autosomal recessive, 251200 ",3,MCPH1,607117,8p23.1,MCPH1
"Microcephaly 2, primary, autosomal recessive, with or without cortical malformations, 604317 ",3,"WDR62, C19orf14, MCPH2",613583,19q13.12,WDR62
"Microcephaly 3, primary, autosomal recessive, 604804 ",3,"CDK5RAP2, KIAA1633, MCPH3",608201,9q33.2,CDK5RAP2
"Microcephaly 4, primary, autosomal recessive, 604321 ",3,"CASC5, AF15Q14, KIAA1570, D40, MCPH4",609173,15q15.1,CASC5
"Microcephaly 5, primary, autosomal recessive, 608716 ",3,"ASPM, MCPH5",605481,1q31.3,ASPM
"Microcephaly 6, primary, autosomal recessive, 608393 ",3,"CENPJ, CPAP, MCPH6, SCKL4",609279,13q12.12-q12.13,CENPJ
"Microcephaly 7, primary, autosomal recessive, 612703 ",3,"STIL, SIL, MCPH7",181590,1p33,STIL
"Microcephaly, Amish type, 607196 ",3,"SLC25A19, DNC, MUP1, MCPHA, THMD3, THMD4",606521,17q25.1,SLC25A19
"Microcephaly, seizures, and developmental delay, 613402 ",3,"PNKP, PNK, MCSZ, EIEE10, MCSZ, AOA4",605610,19q13.33,PNKP
"Microcephaly-capillary malformation syndrome, 614261 ",3,"STAMBP, AMSH, MICCAP",606247,2p13.1,STAMBP
"Microcornea, rod-cone dystrophy, cataract, and posterior staphyloma, 193220 ",3,"BEST1, VMD2, ARB, RP50",607854,11q12.3,BEST1
"Microphthalmia with coloboma 3, 610092 ",3,"CHX10, HOX10, MCOP2, MCOPCB3",142993,14q24.3,CHX10
"Microphthalmia with coloboma 5, 611638 ",3,"SHH, HPE3, HLP3, SMMCI, MCOPCB5",600725,7q36.3,SHH
"Microphthalmia, isolated 2, 610093 ",3,"CHX10, HOX10, MCOP2, MCOPCB3",142993,14q24.3,CHX10
"Microphthalmia, isolated 3, 611038 ",3,"RAX, RX, MCOP3",601881,18q21.32,RAX
"Microphthalmia, isolated, with coloboma 10, 616428 ",3,"RBP4, RDCCAS, MCOPCB10",180250,10q23.33,RBP4
"Microphthalmia, syndromic 12, 615524 ",3,"RARB, HAP, MCOPS12",180220,3p24.2,RARB
"Microphthalmia, syndromic 2, 300166 ",3,"BCOR, KIAA1575, MCOPS2, MAA2, ANOP2",300485,Xp11.4,BCOR
"Microphthalmia, syndromic 3, 206900 ",3,"SOX2, MCOPS3",184429,3q26.33,SOX2
"Microphthalmia, syndromic 5, 610125 ",3,"OTX2, MCOPS5, CPHD6",600037,14q22.3,OTX2
"Microphthalmia, syndromic 6, 607932 ",3,"BMP4, BMP2B1, BMP2B, MCOPS6, OFC11",112262,14q22.2,BMP4
"Microvillus inclusion disease, 251850 ",3,"MYO5B, KIAA1119",606540,18q21.1,MYO5B
"Migraine, familial basilar, 602481 ",3,"ATP1A2, FHM2, MHP2",182340,1q23.2,ATP1A2
"Migraine, familial hemiplegic, 1, 141500 ",3,"CACNA1A, CACNL1A4, SCA6, EIEE42",601011,19p13.13,CACNA1A
"Migraine, familial hemiplegic, 1, with progressive cerebellar ataxia, 141500 ",3,"CACNA1A, CACNL1A4, SCA6, EIEE42",601011,19p13.13,CACNA1A
"Migraine, familial hemiplegic, 2, 602481 ",3,"ATP1A2, FHM2, MHP2",182340,1q23.2,ATP1A2
"Migraine, familial hemiplegic, 3, 609634 ",3,"SCN1A, GEFSP2, SMEI, FEB3A, EIEE6, FHM3",182389,2q24.3,SCN1A
"Minicore myopathy with external ophthalmoplegia, 255320 ",3,"RYR1, MHS, CCO",180901,19q13.2,RYR1
"Mirror movements 1, 157600 ",3,"DCC, MRMV1",120470,18q21.2,DCC
"Mirror movements 2, 614508 ",3,"RAD51A, RECA, MRMV2",179617,15q15.1,RAD51A
"Mismatch repair cancer syndrome, 276300 ",3,"MLH1, COCA2, HNPCC2",120436,3p22.2,MLH1
"Mismatch repair cancer syndrome, 276300 ",3,"MSH2, COCA1, FCC1, HNPCC1",609309,2p21-p16,MSH2
"Mismatch repair cancer syndrome, 276300 ",3,"MSH6, GTBP, HNPCC5",600678,2p16.3,MSH6
"Mismatch repair cancer syndrome, 276300 ",3,"PMS2, PMSL2, HNPCC4",600259,7p22.1,PMS2
"Mitochondrial complex 1 deficiency, 252010 ",3,"NDUFAF5, C20orf7",612360,20p12.1,NDUFAF5
"Mitochondrial complex I deficiency due to ACAD9 deficiency, 611126 ",3,ACAD9,611103,3q21.3,ACAD9
"Mitochondrial complex I deficiency, 252010 ",3,FOXRED1,613622,11q24.2,FOXRED1
"Mitochondrial complex I deficiency, 252010 ",3,"NDUFA1, MWFE",300078,Xq24,NDUFA1
"Mitochondrial complex I deficiency, 252010 ",3,NDUFA11,612638,19p13.3,NDUFA11
"Mitochondrial complex I deficiency, 252010 ",3,"NDUFAF1, CIA30, CGI65",606934,15q15.1,NDUFAF1
"Mitochondrial complex I deficiency, 252010 ",3,"NDUFAF2, NDUFA12L, MMTN, B17.2L",609653,5q12.1,NDUFAF2
"Mitochondrial complex I deficiency, 252010 ",3,NDUFAF3,612911,3p21.31,NDUFAF3
"Mitochondrial complex I deficiency, 252010 ",3,"NDUFAF4, HRPAP20, C6orf66",611776,6q16.1,NDUFAF4
"Mitochondrial complex I deficiency, 252010 ",3,NDUFB3,603839,2q33.1,NDUFB3
"Mitochondrial complex I deficiency, 252010 ",3,NDUFS1,157655,2q33.3,NDUFS1
"Mitochondrial complex I deficiency, 252010 ",3,NDUFS2,602985,1q23.3,NDUFS2
"Mitochondrial complex I deficiency, 252010 ",3,NDUFS3,603846,11p11.2,NDUFS3
"Mitochondrial complex I deficiency, 252010 ",3,"NDUFS4, AQDQ",602694,5q11.2,NDUFS4
"Mitochondrial complex I deficiency, 252010 ",3,NDUFS6,603848,5p15.33,NDUFS6
"Mitochondrial complex I deficiency, 252010 ",3,"NDUFV1, UQOR1",161015,11q13.2,NDUFV1
"Mitochondrial complex I deficiency, 252010 ",3,NDUFV2,600532,18p11.22,NDUFV2
"Mitochondrial complex I deficiency, 252010 ",3,"NUBPL, IND1",613621,14q12,NUBPL
"Mitochondrial complex I deficiency, 252010 ",3,TMEM126B,615533,11q14.1,TMEM126B
"Mitochondrial complex II deficiency, 252011 ",3,SDHAF1,612848,19q13.12,SDHAF1
"Mitochondrial complex II deficiency, 252011 ",3,"SDHD, PGL1, CWS3",602690,11q23.1,SDHD
"Mitochondrial complex III deficiency, nuclear type 1, 124000 ",3,"BCS1L, FLNMS, GRACILE, BJS, PTD, MC3DN1",603647,2q35,BCS1L
"Mitochondrial complex III deficiency, nuclear type 6, 615453 ",3,"CYC1, MC3DN6",123980,8q24.3,CYC1
"Mitochondrial complex IV deficiency, 220110 ",3,"APOPT1, APOP",616003,14q32.33,APOPT1
"Mitochondrial complex IV deficiency, 220110 ",3,COX10,602125,17p12,COX10
"Mitochondrial complex IV deficiency, 220110 ",3,"COX20, FAM36A",614698,1q44,COX20
"Mitochondrial complex IV deficiency, 220110 ",3,COX6B1,124089,19q13.12,COX6B1
"Mitochondrial complex IV deficiency, 220110 ",3,"PET100, C19orf79",614770,19p13.2,PET100
"Mitochondrial complex IV deficiency, 220110 ",3,"SCO1, SCOD1",603644,17p13.1,SCO1
"Mitochondrial complex IV deficiency, 220110 ",3,"TACO1, CCDC44",612958,17q23.3,TACO1
"Mitochondrial phosphate carrier deficiency, 610773 ",3,"SLC25A3, PHC",600370,12q23.1,SLC25A3
"Mitochondrial respiratory chain complex II deficiency, 252011 ",3,"SDHA, SDH1, SDHF, CMD1GG, PGL5",600857,5p15.33,SDHA
"Miyoshi muscular dystrophy 1, 254130 ",3,"DYSF, LGMD2B, MMD1",603009,2p13.2,DYSF
"Miyoshi muscular dystrophy 3, 613319 ",3,"ANO5, TMEM16E, GDD1, LGMD2L",608662,11p14.3,ANO5
"Mohr-Tranebjaerg syndrome, 304700 ",3,"TIMM8A, DFN1, DDP, MTS, DDP1",300356,Xq22.1,TIMM8A
"Molybdenum cofactor deficiency A, 252150 ",3,"MOCS1, MOCODA",603707,6p21.2,MOCS1
"Molybdenum cofactor deficiency C, 615501 ",3,"GPHN, GPH, KIAA1385, GEPH, MOCODC",603930,14q23.3-q24.1,GPHN
"Monilethrix, 158000 ",3,"KRT81, KRTHB1, HB1",602153,12q13.13,KRT81
"Monilethrix, 158000 ",3,"KRT86, KRTHB6, HB6",601928,12q13.13,KRT86
"Mosaic variegated aneuploidy syndrome 1, 257300 ",3,"BUB1B, BUBR1, MVA1",602860,15q15.1,BUB1B
"Mowat-Wilson syndrome, 235730 ",3,"ZEB2, ZFHX1B, SMADIP1, SIP1",605802,2q22.3,ZEB2
"Moyamoya disease 5, 614042 ",3,"ACTA2, ACTSA, AAT6, MYMY5",102620,10q23.31,ACTA2
"Muckle-Wells syndrome, 191900 ",3,"NLRP3, CIAS1, FCU, FCAS1, NALP3, PYPAF1",606416,1q44,NLRP3
"Mucolipidosis II alpha/beta, 252500 ",3,"GNPTAB, GNPTA",607840,12q23.2,GNPTAB
"Mucolipidosis III alpha/beta, 252600 ",3,"GNPTAB, GNPTA",607840,12q23.2,GNPTAB
"Mucolipidosis III gamma, 252605 ",3,GNPTAG,607838,16p13.3,GNPTAG
"Mucolipidosis IV, 252650 ",3,"MCOLN1, ML4",605248,19p13.2,MCOLN1
"Mucopolysaccharidosis II, 309900 ",3,"IDS, MPS2, SIDS",300823,Xq28,IDS
"Mucopolysaccharidosis IVA, 253000 ",3,"GALNS, MPS4A",612222,16q24.3,GALNS
"Mucopolysaccharidosis VII, 253220 ",3,"GUSB, MPS7",611499,7q11.21,GUSB
"Muenke syndrome, 602849 ",3,"FGFR3, ACH",134934,4p16.3,FGFR3
"Muir-Torre syndrome, 158320 ",3,"MLH1, COCA2, HNPCC2",120436,3p22.2,MLH1
"Muir-Torre syndrome, 158320 ",3,"MSH2, COCA1, FCC1, HNPCC1",609309,2p21-p16,MSH2
"Mulibrey nanism, 253250 ",3,"TRIM37, MUL, KIAA0898",605073,17q22,TRIM37
"Multicentric osteolysis, nodulosis, and arthropathy, 259600 ",3,"MMP2, CLG4A, MONA",120360,16q12.2,MMP2
"Multiple endocrine neoplasia 1, 131100 ",3,MEN1,613733,11q13.1,MEN1
"Multiple endocrine neoplasia IIA, 171400 ",3,"RET, MEN2A, HSCR1",164761,10q11.21,RET
"Multiple endocrine neoplasia IIB, 162300 ",3,"RET, MEN2A, HSCR1",164761,10q11.21,RET
"Multiple endocrine neoplasia, type IV, 610755 ",3,"CDKN1B, KIP1, CDKN4, MEN4",600778,12p13.1,CDKN1B
"Multiple pterygium syndrome, lethal type, 253290 ",3,"CHRNA1, ACHRD, CMS1B, CMS1A",100690,2q31.1,CHRNA1
"Multiple pterygium syndrome, lethal type, 253290 ",3,"CHRND, ACHRD, SCCMS, CMS3A, CMS3B, CMS3C",100720,2q37.1,CHRND
"Multiple pterygium syndrome, lethal type, 253290 ",3,"CHRNG, ACHRG",100730,2q37.1,CHRNG
"Multiple synostoses syndrome 1, 186500 ",3,"NOG, SYM1, SYNS1A",602991,17q22,NOG
"Multiple synostoses syndrome 2, 610017 ",3,"GDF5, CDMP1, SYNS2, OS5, BDA1C, SYM1B",601146,20q11.22,GDF5
"Multisystemic smooth muscle dysfunction syndrome, 613834 ",3,"ACTA2, ACTSA, AAT6, MYMY5",102620,10q23.31,ACTA2
"Muscle glycogenosis, 300559 ",3,PHKA1,311870,Xq13.1,PHKA1
"Muscular dystrophy, congenital merosin-deficient, 607855 ",3,"LAMA2, LAMM",156225,6q22.33,LAMA2
"Muscular dystrophy, congenital, 613205 ",3,"LMNA, LMN1, EMD2, FPLD2, CMD1A, HGPS, LGMD1B",150330,1q22,LMNA
"Muscular dystrophy, congenital, due to partial LAMA2 deficiency, 607855 ",3,"LAMA2, LAMM",156225,6q22.33,LAMA2
"Muscular dystrophy, limb-girdle, type 1A, 159000 ",3,"MYOT, TTOD, MFM3",604103,5q31.2,MYOT
"Muscular dystrophy, limb-girdle, type 1B, 159001 ",3,"LMNA, LMN1, EMD2, FPLD2, CMD1A, HGPS, LGMD1B",150330,1q22,LMNA
"Muscular dystrophy, limb-girdle, type 1F, 608423 ",3,"TNPO3, TRNSR, LGMD1F",610032,7q32.1,TNPO3
"Muscular dystrophy, limb-girdle, type 2A, 253600 ",3,"CAPN3, CANP3",114240,15q15.1,CAPN3
"Muscular dystrophy, limb-girdle, type 2B, 253601 ",3,"DYSF, LGMD2B, MMD1",603009,2p13.2,DYSF
"Muscular dystrophy, limb-girdle, type 2C, 253700 ",3,"SGCG, LGMD2C, DMDA1, SCG3",608896,13q12.12,SGCG
"Muscular dystrophy, limb-girdle, type 2D, 608099 ",3,"SGCA, ADL, DAG2, LGMD2D, DMDA2",600119,17q21.33,SGCA
"Muscular dystrophy, limb-girdle, type 2E, 604286 ",3,"SGCB, LGMD2E",600900,4q12,SGCB
"Muscular dystrophy, limb-girdle, type 2F, 601287 ",3,"SGCD, SGD, LGMD2F, CMD1L",601411,5q33.2-q33.3,SGCD
"Muscular dystrophy, limb-girdle, type 2G, 601954 ",3,"TCAP, LGMD2G, CMH25",604488,17q12,TCAP
"Muscular dystrophy, limb-girdle, type 2H, 254110 ",3,"TRIM32, HT2A, LGMD2H, BBS11",602290,9q33.1,TRIM32
"Muscular dystrophy, limb-girdle, type 2J, 608807 ",3,"TTN, CMD1G, TMD, LGMD2J, MPRM, HMERF, EOMFC",188840,2q31.2,TTN
"Muscular dystrophy, limb-girdle, type 2L, 611307 ",3,"ANO5, TMEM16E, GDD1, LGMD2L",608662,11p14.3,ANO5
"Muscular dystrophy, limb-girdle, type 2Q, 613723 ",3,"PLEC1, PLEC, PLTN, EBS1, LGMD2Q, EBSOG, EBSPA, EBSMD, EBSND",601282,8q24.3,PLEC1
"Muscular dystrophy, limb-girdle, type IC, 607801 ",3,"CAV3, LGMD1C, LQT9",601253,3p25.3,CAV3
"Muscular dystrophy, rigid spine, 1, 602771 ",3,"SELENON, SEPN1, SELN, RSMD1, CFTD",606210,1p36.11,SELENON
"Myasthenia, congenital, 12, with tubular aggregates, 610542 ",3,"GFPT1, GFAT1, GFPT1L, MSLG, CMS12, CMSTA1",138292,2p13.3,GFPT1
"Myasthenic syndrome, congenital, 10, 254300 ",3,"DOK7, C4orf25, CMS10",610285,4p16.3,DOK7
"Myasthenic syndrome, congenital, 13, with tubular aggregates, 614750 ",3,"DPAGT1, DPAGT2, DGPT, CDG1J, CMSTA2, CMS13",191350,11q23.3,DPAGT1
"Myasthenic syndrome, congenital, 14, with tubular aggregates, 616228 ",3,"ALG2, CDGII, CMSTA3, CMS14",607905,9q22.33,ALG2
"Myasthenic syndrome, congenital, 16, 614198 ",3,"SCN4A, HYPP, NAC1A, HOKPP2, CMS16",603967,17q23.3,SCN4A
"Myasthenic syndrome, congenital, 19, 616720 ",3,"COL13A1, CMS19",120350,10q22.1,COL13A1
"Myasthenic syndrome, congenital, 1A, slow-channel, 601462 ",3,"CHRNA1, ACHRD, CMS1B, CMS1A",100690,2q31.1,CHRNA1
"Myasthenic syndrome, congenital, 1B, fast-channel, 608930 ",3,"CHRNA1, ACHRD, CMS1B, CMS1A",100690,2q31.1,CHRNA1
"Myasthenic syndrome, congenital, 2A, slow-channel, 616313 ",3,"CHRNB1, ACHRB, SCCMS, CMS2A, CMS2C",100710,17p13.1,CHRNB1
"Myasthenic syndrome, congenital, 3B, fast-channel, 616322 ",3,"CHRND, ACHRD, SCCMS, CMS3A, CMS3B, CMS3C",100720,2q37.1,CHRND
"Myasthenic syndrome, congenital, 4A, slow-channel, 605809 ",3,"CHRNE, SCCMS, CMS4A, CMS4B, CMS4C",100725,17p13.2,CHRNE
"Myasthenic syndrome, congenital, 4B, fast-channel, 616324 ",3,"CHRNE, SCCMS, CMS4A, CMS4B, CMS4C",100725,17p13.2,CHRNE
"Myasthenic syndrome, congenital, 4C, associated with acetylcholine receptor deficiency, 608931 ",3,"CHRNE, SCCMS, CMS4A, CMS4B, CMS4C",100725,17p13.2,CHRNE
"Myasthenic syndrome, congenital, 5, 603034 ",3,"COLQ, EAD, CMS5",603033,3p25.1,COLQ
"Myasthenic syndrome, congenital, 6, presynaptic, 254210 ",3,"CHAT, CMS6",118490,10q11.23,CHAT
"Myasthenic syndrome, congenital, 9, associated with acetylcholine receptor deficiency, 616325 ",3,"MUSK, CMS9, FADS",601296,9q31.3,MUSK
"Myelofibrosis with myeloid metaplasia, somatic, 254450 ",3,"MPL, TPOR, MPLV, THCYT2",159530,1p34.2,MPL
"Myelofibrosis, somatic, 254450 ",3,"CALR, SSA",109091,19p13.13,CALR
"Myelofibrosis, somatic, 254450 ",3,"JAK2, THCYT3",147796,9p24.1,JAK2
"Myelofibrosis, somatic, 254450 ",3,"SH2B3, LNK",605093,12q24.12,SH2B3
"Myeloperoxidase deficiency, 254600 ",3,MPO,606989,17q22,MPO
"Myhre syndrome, 139210 ",3,"SMAD4, MADH4, DPC4, SMAD4, JIP, MYHRS",600993,18q21.2,SMAD4
"Myofibromatosis, infantile, 1, 228550 ",3,"PDGFRB, PDGFR, IBGC4, IMF1, PENTT, KOGS",173410,5q32,PDGFRB
"Myokymia, 121200 ",3,"KCNQ2, EBN1, EIEE7, BFNS1",602235,20q13.33,KCNQ2
"Myopathy due to CPT II deficiency, 255110 ",3,"CPT2, IIAE4",600650,1p32.3,CPT2
"Myopathy with lactic acidosis, hereditary, 255125 ",3,"ISCU, HML",611911,12q23.3,ISCU
"Myopathy, X-linked, with postural muscle atrophy, 300696 ",3,"FHL1, SLIM1, XMPMA, KYOT, FHL1A, FHL1B, RBMX1A, RBMX1B",300163,Xq26.3,FHL1
"Myopathy, actin, congenital, with cores, 161800 ",3,"ACTA1, ASMA, NEM3, CFTD1, SHPM",102610,1q42.13,ACTA1
"Myopathy, actin, congenital, with excess of thin myofilaments, 161800 ",3,"ACTA1, ASMA, NEM3, CFTD1, SHPM",102610,1q42.13,ACTA1
"Myopathy, centronuclear, 160150 ",3,"DNM2, CMTDIB, CMTDI1, CMT2M, LCCS5",602378,19p13.2,DNM2
"Myopathy, centronuclear, 3, 614408 ",3,"MYF6, CNM3",159991,12q21.31,MYF6
"Myopathy, congenital, with fiber-type disproportion 1, 255310 ",3,"ACTA1, ASMA, NEM3, CFTD1, SHPM",102610,1q42.13,ACTA1
"Myopathy, congenital, with fiber-type disproportion, 255310 ",3,"SELENON, SEPN1, SELN, RSMD1, CFTD",606210,1p36.11,SELENON
"Myopathy, congenital, with fiber-type disproportion, 255310 ",3,"TPM3, NEM1, CFTD, CAPM1",191030,1q21.3,TPM3
"Myopathy, distal, 4, 614065 ",3,"FLNC, FLN2, ABPA, ABPL, MFM5, MPD4, CMH26, RCM5",102565,7q32.1,FLNC
"Myopathy, distal, Tateyama type, 614321 ",3,"CAV3, LGMD1C, LQT9",601253,3p25.3,CAV3
"Myopathy, distal, with anterior tibial onset, 606768 ",3,"DYSF, LGMD2B, MMD1",603009,2p13.2,DYSF
"Myopathy, distal, with rimmed vacuoles, 617158 ",3,"SQSTM1, P62, PDB3, FTDALS3, NADGP, DMRV",601530,5q35.3,SQSTM1
"Myopathy, early-onset, with fatal cardiomyopathy, 611705 ",3,"TTN, CMD1G, TMD, LGMD2J, MPRM, HMERF, EOMFC",188840,2q31.2,TTN
"Myopathy, myofibrillar, 1, 601419 ",3,"DES, CMD1I, MFM1, SCPNK, ARVD7, ARVC7, LGMD2R",125660,2q35,DES
"Myopathy, myofibrillar, 2, 608810 ",3,"CRYAB, CRYA2, CTPP2, CMD1II, CTRCT16, MFM2",123590,11q23.1,CRYAB
"Myopathy, myofibrillar, 3, 609200 ",3,"MYOT, TTOD, MFM3",604103,5q31.2,MYOT
"Myopathy, myofibrillar, 4, 609452 ",3,"LDB3, ZASP, CYPHER, KIAA01613, MFM4, CMD1C, CMH24, LVNC3",605906,10q23.2,LDB3
"Myopathy, myofibrillar, 5, 609524 ",3,"FLNC, FLN2, ABPA, ABPL, MFM5, MPD4, CMH26, RCM5",102565,7q32.1,FLNC
"Myopathy, myofibrillar, fatal infantile hypertrophy, alpha-B crystallin-related, 613869 ",3,"CRYAB, CRYA2, CTPP2, CMD1II, CTRCT16, MFM2",123590,11q23.1,CRYAB
"Myopathy, myosin storage, autosomal dominant, 608358 ",3,"MYH7, CMH1, MPD1, CMD1S, SPMM, SPMD",160760,14q11.2,MYH7
"Myopathy, myosin storage, autosomal recessive, 255160 ",3,"MYH7, CMH1, MPD1, CMD1S, SPMM, SPMD",160760,14q11.2,MYH7
"Myopathy, proximal, with early respiratory muscle involvement, 603689 ",3,"TTN, CMD1G, TMD, LGMD2J, MPRM, HMERF, EOMFC",188840,2q31.2,TTN
"Myopathy, spheroid body, 182920 ",3,"MYOT, TTOD, MFM3",604103,5q31.2,MYOT
"Myopathy, tubular aggregate, 1 160565 ",3,"STIM1, TAM1, IMD10, STRMK",605921,11p15.4,STIM1
"Myopathy, vacuolar, with CASQ1 aggregates, 616231 ",3,"CASQ1, VMCQA",114250,1q23.2,CASQ1
"Myopia 23, autosomal recessive, 615431 ",3,"LRPAP1, A2MRAP, MYP23",104225,4p16.3,LRPAP1
"Myopia 6, 608908 ",3,"SCO2, CEMCOX1, MYP6",604272,22q13.33,SCO2
"Myotonia congenita, atypical, acetazolamide-responsive, 608390 ",3,"SCN4A, HYPP, NAC1A, HOKPP2, CMS16",603967,17q23.3,SCN4A
"Myotonic dystrophy 1, 160900 ",3,"DMPK, DM, DMK",605377,19q13.32,DMPK
"Myotonic dystrophy 2, 602668 ",3,"ZNF9, CNBP1, DM2, PROMM",116955,3q21.3,ZNF9
"Myotubular myopathy, X-linked, 310400 ",3,"MTM1, MTMX",300415,Xq28,MTM1
"Myxoma, intracardiac, 255960 ",3,"PRKAR1A, TSE1, CNC1, CAR, PPNAD1, ACRDYS1",188830,17q24.2,PRKAR1A
"N-acetylglutamate synthase deficiency, 237310 ",3,NAGS,608300,17q21.31,NAGS
"Naegeli-Franceschetti-Jadassohn syndrome, 161000 ",3,KRT14,148066,17q21.2,KRT14
"Nail-patella syndrome, 161200 ",3,"LMX1B, NPS1",602575,9q33.3,LMX1B
"Nance-Horan syndrome, 302350 ",3,"NHS, CXN, CTRCT40",300457,Xp22.2-p22.1,NHS
"Nasopharyngeal carcinoma, 607107 ",3,"TP53, P53, LFS1 , BCC7",191170,17p13.1,TP53
"Nasu-Hakola disease, 221770 ",3,TREM2,605086,6p21.1,TREM2
"Nasu-Hakola disease, 221770 ",3,"TYROBP, PLOSL, DAP12",604142,19q13.12,TYROBP
"Natural killer cell and glucocorticoid deficiency with DNA repair defect, 609981 ",3,"MCM4, NKGCD, NKCD",602638,8q11.21,MCM4
"Naxos disease, 601214 ",3,"JUP, DP3, PDGB, ARVD12",173325,17q21.2,JUP
"Nemaline myopathy 1, autosomal dominant or recessive, 609284 ",3,"TPM3, NEM1, CFTD, CAPM1",191030,1q21.3,TPM3
"Nemaline myopathy 2, autosomal recessive, 256030 ",3,"NEB, NEM2",161650,2q23.3,NEB
"Nemaline myopathy 3, autosomal dominant or recessive, 161800 ",3,"ACTA1, ASMA, NEM3, CFTD1, SHPM",102610,1q42.13,ACTA1
"Nemaline myopathy 4, autosomal dominant, 609285 ",3,"TPM2, TMSB, AMCD1, DA1, DA2B, NEM4",190990,9p13.3,TPM2
"Nemaline myopathy 5, Amish type, 605355 ",3,"TNNT1, ANM, NEM5",191041,19q13.42,TNNT1
"Nemaline myopathy 7, autosomal recessive, 610687 ",3,"CFL2, NEM7",601443,14q13.1,CFL2
"Nephrogenic syndrome of inappropriate antidiuresis, 300539 ",3,"AVPR2, DIR, DI1, ADHR",300538,Xq28,AVPR2
"Nephrolithiasis, type I, 310468 ",3,"CLCN5, CLCK2, NPHL2, DENTS, NPHL1",300008,Xp11.23,CLCN5
